question,answer
کدیاد، سبزلرن و تاپ لرن اموزش های خوبی برای پایتون دارن,پیوی مسیج کدم
کدیاد، سبزلرن و تاپ لرن اموزش های خوبی برای پایتون دارن,لینک شو بفرستید
؟,کدیاد، سبزلرن و تاپ لرن اموزش های خوبی برای پایتون دارن
کانالش رو دارید شما؟,کانال ن گروهشو دارم
سایت سبزلرن دوره متخصص پایتون رضا دولتی,کانالش رو دارید شما؟
"میخواهم زبان برنامه نویسی پایتون آموزش بیبینم اما هیچ اصلا نمیفهمم پایتون چیست بر نامه نویسی چیست 
از صفر آموزش بدهد",سایت سبزلرن دوره متخصص پایتون رضا دولتی
پس اول باید همون پایتون شروع کنم دوره ای پیشنهاد میدید واسه پایتون,یوتوب، سبز لرن، کد یاد، تاپ لرن، w3school
"برای ساختن ی چنین چیزی شما باید به پایتون مسلط باشید، به وب و اسیب پذیری هاش مسلط باشید، با کار کردن با ابزار های پنتست وب اشنا باشید، به ماشین لرنینگ شبکه های عصبی پردازش داده باید مسلط باشید 
یاد گرفتن و تسلط روی هر کدوم از این ها در حدی که بتونید ی چنین چیزی رو بسازید حداقل یکی دو سال زمان می خواهد",مرسی از راهنمایی🙏🏼
"نه عزیز
شما اول باید خود پایتونو مسلط شید
بعد ماشین لرینگ و ساخت هوش مصنوعی یاد بگیرید
بعدش باید خودتون حرفه ای باشید توی باگ بانتی و هک و امنیت و انواع باگ ها و مشکلات امنیتی رو بدونید که بتونید مدل هوش مصنوعیتونو آموزش بدید",مرسی از راهنمایی🙏🏼
"کسی هست راه حل تضمینی براش داشته باشه؟
@his_bye

لطفا بهم بگیدد

+ورودی اکسپلور پیج بن شده🤦‍♂
+ لایومم بن شده به مدت یکسال🤦‍♂",💔💔
پس خیلی زمان بره هوش مصنوعی گفته بود تو ۴ ماه میشه,"نه عزیز
شما اول باید خود پایتونو مسلط شید
بعد ماشین لرینگ و ساخت هوش مصنوعی یاد بگیرید
بعدش باید خودتون حرفه ای باشید توی باگ بانتی و هک و امنیت و انواع باگ ها و مشکلات امنیتی رو بدونید که بتونید مدل هوش مصنوعیتونو آموزش بدید"
پس خیلی زمان بره هوش مصنوعی گفته بود تو ۴ ماه میشه,"برای ساختن ی چنین چیزی شما باید به پایتون مسلط باشید، به وب و اسیب پذیری هاش مسلط باشید، با کار کردن با ابزار های پنتست وب اشنا باشید، به ماشین لرنینگ شبکه های عصبی پردازش داده باید مسلط باشید 
یاد گرفتن و تسلط روی هر کدوم از این ها در حدی که بتونید ی چنین چیزی رو بسازید حداقل یکی دو سال زمان می خواهد"
"اگه الان شروع کنی
تا چند سال دیگه میتونی بسازی همچین چیزیو",پس خیلی زمان بره هوش مصنوعی گفته بود تو ۴ ماه میشه
"سلام  وقتتون بخیر ببخشید من میخوام دوره پایتون ببینم بعد یه سوال میشه هوش مصنوعی ساخت که خودش وقتی لینک سایت میدی خودکار بره باگ پیدا کنه 
از هوش مصنوعی پرسیدم درست جواب نداد ممنون میشم بگید 🙏🏼","اگه الان شروع کنی
تا چند سال دیگه میتونی بسازی همچین چیزیو"
"سلام دوستان 
کسی هست که راجب ساخت هوش مصنوعی با پایتون آشنایی داشته باشه و بلد باشه؟چند تا سوال داشتم ممنون میشم اگر کسی رو میشناسید معرفی کنید🙏🏻","اینجوری کم پیدا میشه کسی جوابت بده
یا دیرتر ب جواب میرسی
سوالتو بپرس همینجا
یا اگه چندتا سواله 
سوال اولتودبپرس بعدش بقیه سوالارو بپرس
این گروه ها برا همین بحثا ساخته شده"
طراحی برنامه اپلیکیشن رو که فکر کنم نمیتونه بهش فکر کنه😂,"انجام میده
ولی خب جونتو در میاره
نمیدونم اونجور ک بخای بشه یا نه🚶‍♂😂"
"الان فک کنم فایربیس استودیو خیلی خفن شده
من استفاده نکردم ولی یکی دوتا ویدیوو ازش توی یوتیوب دیدم
میتونه تا حدی پروژه های حرفه ای فقط با پرامت نوشتن بهت بده
مثلا میتونی یه تیکه از کدو سلکت کنی بگی تغییرش بده
یا خودش برات تشخیص بده کجاشو میخای تغییز بدی
یا مطلادتو طراحی رابط کاربری یه بخش از رابطک سلکت کنی بگی میخام اینجاش فلان اتفاق بیفته

نسبتن خیلی خوب عمل میکنه
ولی بازم کسی که  برنامه نویسی بلد نباشه نمیتونه باهاش کار کنه
با اینکه حتی ممکنه نیاز نباشه یه خط کد هم بنویسه",طراحی برنامه اپلیکیشن رو که فکر کنم نمیتونه بهش فکر کنه😂
"طرف با هوش‌مصنوعی میخواد سایت بسازه

خب فکر کرده سایت فقط طراحی داره
بخش سرور رو با چی طراحی میکنی تهش
همین شکلیش سرور های فوق امنیتی هم ه ک میشن، چه برسه به  ai","الان فک کنم فایربیس استودیو خیلی خفن شده
من استفاده نکردم ولی یکی دوتا ویدیوو ازش توی یوتیوب دیدم
میتونه تا حدی پروژه های حرفه ای فقط با پرامت نوشتن بهت بده
مثلا میتونی یه تیکه از کدو سلکت کنی بگی تغییرش بده
یا خودش برات تشخیص بده کجاشو میخای تغییز بدی
یا مطلادتو طراحی رابط کاربری یه بخش از رابطک سلکت کنی بگی میخام اینجاش فلان اتفاق بیفته

نسبتن خیلی خوب عمل میکنه
ولی بازم کسی که  برنامه نویسی بلد نباشه نمیتونه باهاش کار کنه
با اینکه حتی ممکنه نیاز نباشه یه خط کد هم بنویسه"
در حال حاضر طراحی وب,"برای شرکت خودتون اگه میخواهید

ودپورس رو انتخواب کنید راحت ترید"
"شما میخواهید چه کاری انجام دهید

دنبال طراحی وب هستید یا طراحی اپ",در حال حاضر طراحی وب
منم همین میگم,"شما میخواهید چه کاری انجام دهید

دنبال طراحی وب هستید یا طراحی اپ"
"واسه کسی که هیچی از برنامه نویسی نمیدونه واقعا سخته
باید حداقل مقدماتی یه زبانو دیده باشه
و دید خوبی داشته باشه که بتونه پرامت های خوبی بده
و سوالای خوبی بپرسه

تو داری از دید الان خودت نگاه میکنی

از دید یکی که صفره بخای نگاه کنی ۹۵ درصد نمیتونن واسه شروع ازش استفاده کنن

من خودم چند سال پیش با کمک  ai رشد کردم
با اینکه ذهن خلاقی دارم ولی بازم سختم بود بخام بدون دوره دیدن متوجه بشم",منم همین میگم
"ولی بازم نمیتونم خروجی نهاییمو ازش بگیرم
فقط ایده و نحوه کار کردن
توضیح کد 
و خیلی جیزا بدردم میخوره
ولی خیلی سخته بخای یه تیکه از کار حرفه ای رو بهش بدی و برات یه خروجی متابق دلت بزنه",نمیتونه اصلا به پای طراحی انسانی برسه
بحث نکنید,"طرف با هوش‌مصنوعی میخواد سایت بسازه

خب فکر کرده سایت فقط طراحی داره
بخش سرور رو با چی طراحی میکنی تهش
همین شکلیش سرور های فوق امنیتی هم ه ک میشن، چه برسه به  ai"
"واسه کسی که هیچی از برنامه نویسی نمیدونه واقعا سخته
باید حداقل مقدماتی یه زبانو دیده باشه
و دید خوبی داشته باشه که بتونه پرامت های خوبی بده
و سوالای خوبی بپرسه

تو داری از دید الان خودت نگاه میکنی

از دید یکی که صفره بخای نگاه کنی ۹۵ درصد نمیتونن واسه شروع ازش استفاده کنن

من خودم چند سال پیش با کمک  ai رشد کردم
با اینکه ذهن خلاقی دارم ولی بازم سختم بود بخام بدون دوره دیدن متوجه بشم",.
